epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64579,1.15541,2.98489,1.64927,0.00331,0.95833,0.38353,0.24688,1.08386,3.00735,2.11146,0.00015003,0.00015003,0.00015003
2,8.86937,1.05069,2.56055,1.59346,0.00321,0.95833,0.64656,0.40859,0.96147,2.73946,1.84727,0.000306278,0.000306278,0.000306278
3,11.5027,0.91682,1.86469,1.46754,0.00354,0.95833,0.52925,0.33006,1.28489,2.59739,2.07953,0.000451524,0.000451524,0.000451524
4,14.2282,1.12757,1.49722,1.52387,0.84695,0.15626,0.46974,0.23274,2.10512,2.57135,2.83976,0.000585767,0.000585767,0.000585767
5,16.9235,1.0597,1.45432,1.45556,0.61697,0.61804,0.6885,0.34574,1.53319,1.92242,2.42859,0.000709008,0.000709008,0.000709008
6,19.5145,0.9571,1.29877,1.42033,0.52153,0.74741,0.67399,0.43963,1.27767,1.92164,2.22353,0.000821248,0.000821248,0.000821248
